Rank,Team,Mu,Sigma,Conservative Score,OPR,DPR,CCVM,Win Percentage
1,2131H,42.99,1.49,38.51,24.35,2.2,22.15,90.0
2,5150Z,41.66,1.41,37.44,19.15,3.65,15.5,85.96
3,2011D,40.73,1.27,36.92,19.14,3.38,15.77,76.51
4,11101B,40.91,1.33,36.92,20.71,5.65,15.06,81.88
5,99904B,41.03,1.39,36.85,23.08,1.12,21.96,84.84
6,1095R,40.76,1.45,36.42,22.15,2.48,19.67,81.6
7,2775V,40.14,1.3,36.24,20.71,3.05,17.66,80.0
8,3299C,40.28,1.48,35.84,18.46,3.64,14.82,84.62
9,6210M,39.56,1.31,35.64,19.98,2.01,17.97,79.44
10,9189X,41.09,1.83,35.6,19.0,1.1,17.9,84.57
11,2011A,39.53,1.4,35.34,20.06,1.21,18.85,78.81
12,74074Y,40.64,1.79,35.28,21.84,1.33,20.51,87.61
13,20605A,40.49,1.75,35.23,19.21,2.44,16.77,86.84
14,1698V,38.91,1.29,35.03,18.75,3.11,15.65,79.34
15,2129C,41.11,2.03,35.02,18.74,2.21,16.53,80.0
16,16099A,40.1,1.7,34.99,19.52,2.8,16.72,82.67
17,2011J,38.87,1.33,34.88,18.86,2.42,16.45,73.66
18,360X,39.1,1.45,34.75,20.54,2.7,17.84,80.71
19,39702A,40.4,1.89,34.72,18.14,0.38,17.77,81.51
20,920B,39.35,1.55,34.71,20.72,1.74,18.98,79.75
21,8931R,39.77,1.69,34.7,22.25,1.19,21.07,81.65
22,3324B,38.95,1.44,34.64,20.45,1.19,19.26,82.62
23,96789X,39.03,1.47,34.61,20.53,2.95,17.58,89.94
24,1065A,39.52,1.64,34.6,20.5,1.15,19.35,84.03
25,1115E,38.8,1.4,34.59,17.0,2.41,14.59,76.36
26,11777C,39.06,1.51,34.53,21.63,0.18,21.46,82.68
27,507A,39.51,1.69,34.45,17.07,2.2,14.87,83.65
28,35993A,41.67,2.41,34.45,19.86,3.36,16.51,87.7
29,2054V,38.94,1.51,34.4,21.9,2.98,18.92,82.44
30,8889A,38.43,1.35,34.39,21.18,3.19,17.98,78.89
31,80001B,38.55,1.39,34.36,21.89,2.18,19.71,77.94
32,151T,40.62,2.1,34.34,19.13,1.18,17.96,85.07
33,1082E,38.51,1.45,34.18,18.8,2.21,16.58,74.77
34,87867C,38.72,1.55,34.08,16.19,3.26,12.93,76.34
35,10102A,37.97,1.31,34.05,18.79,1.98,16.81,78.47
36,6842K,38.42,1.46,34.03,22.37,1.96,20.41,81.15
37,938Z,39.06,1.68,34.01,21.23,2.98,18.25,86.92
38,652A,39.05,1.69,33.98,21.65,2.35,19.31,80.21
39,937X,39.24,1.76,33.96,19.85,0.15,19.7,81.51
40,11101X,38.21,1.42,33.96,19.69,2.55,17.15,75.42
41,886Y,38.19,1.42,33.94,18.96,4.12,14.84,78.78
42,1168A,38.37,1.51,33.85,19.89,2.0,17.88,80.43
43,74074E,38.58,1.58,33.85,14.59,-2.16,16.75,78.63
44,229V,38.41,1.52,33.84,23.87,2.16,21.71,84.88
45,3022A,39.61,1.93,33.84,20.86,2.37,18.49,86.15
46,1159X,38.36,1.52,33.81,19.37,4.04,15.33,76.92
47,1082M,39.21,1.8,33.8,19.88,-0.15,20.03,80.95
48,1022R,40.0,2.08,33.75,18.14,4.57,13.56,85.42
49,1010W,38.41,1.56,33.74,21.68,1.32,20.36,82.08
50,2654E,38.36,1.55,33.7,20.44,-0.7,21.14,80.77
51,61002G,38.2,1.52,33.65,19.25,3.23,16.03,82.73
52,24658J,39.41,1.92,33.64,20.06,1.14,18.93,86.26
53,1537A,39.17,1.85,33.6,21.75,0.22,21.52,81.43
54,9123W,38.59,1.66,33.6,20.89,3.85,17.04,76.58
55,57711X,37.86,1.42,33.6,20.39,1.22,19.17,78.62
56,6008A,37.52,1.31,33.58,22.21,0.85,21.36,78.52
57,54666A,39.15,1.87,33.55,24.39,2.39,22.0,83.11
58,1010G,37.81,1.43,33.52,19.69,2.18,17.51,80.31
59,2011K,37.28,1.28,33.44,19.52,1.39,18.13,75.33
60,13765X,38.54,1.7,33.43,16.44,0.86,15.58,83.63
61,2145Z,37.53,1.38,33.39,20.67,0.41,20.26,80.21
62,99904W,37.41,1.34,33.38,17.06,2.97,14.09,74.63
63,32092G,38.2,1.61,33.37,19.07,0.14,18.94,81.91
64,2899A,37.8,1.52,33.24,16.76,0.66,16.1,77.31
65,66556Z,38.15,1.64,33.21,15.38,0.9,14.48,81.25
66,3588Y,37.49,1.44,33.19,19.36,0.8,18.56,80.33
67,9123A,39.4,2.07,33.19,21.57,0.0,21.57,87.86
68,33007Y,38.51,1.8,33.12,18.7,-0.09,18.79,80.38
69,2011B,36.78,1.22,33.12,18.7,2.0,16.7,66.67
70,119A,37.13,1.34,33.1,17.09,2.7,14.38,79.28
71,79912C,37.88,1.59,33.1,17.21,2.03,15.18,83.91
72,4828X,38.05,1.65,33.09,19.09,2.01,17.08,84.62
73,81101D,40.18,2.37,33.08,17.96,-2.14,20.1,88.6
74,967T,38.96,1.96,33.07,14.99,1.39,13.59,84.0
75,16689A,37.15,1.36,33.06,18.35,2.68,15.67,70.33
76,1239E,37.71,1.56,33.03,15.64,1.11,14.54,75.45
77,99040N,37.73,1.59,32.96,18.71,0.87,17.84,76.4
78,99989A,37.9,1.66,32.91,20.11,0.49,19.62,83.03
79,6219X,37.06,1.39,32.88,18.89,2.77,16.13,78.63
80,95071X,36.63,1.26,32.84,19.92,0.78,19.14,76.72
81,8433W,38.27,1.82,32.8,19.21,3.08,16.13,75.42
82,1000A,36.76,1.33,32.79,18.34,2.52,15.81,70.16
83,9123Y,38.61,1.95,32.76,22.0,1.03,20.98,83.8
84,1082R,37.2,1.48,32.76,17.88,0.63,17.25,74.26
85,93241C,40.28,2.51,32.76,14.38,1.85,12.53,90.91
86,44252A,37.64,1.64,32.73,17.26,1.89,15.36,73.49
87,288A,37.05,1.44,32.73,18.63,0.97,17.66,72.32
88,80920A,37.3,1.55,32.66,19.61,2.9,16.72,75.76
89,2509A,38.07,1.8,32.66,17.31,0.75,16.56,79.88
90,4610C,36.9,1.42,32.63,20.65,2.88,17.77,77.97
91,7686A,36.54,1.31,32.62,17.16,2.09,15.06,76.03
92,100A,37.3,1.56,32.62,16.39,3.93,12.46,73.74
93,10085X,38.34,1.91,32.61,19.89,1.55,18.34,78.33
94,2915E,37.44,1.61,32.6,21.0,4.06,16.95,85.0
95,66475C,36.4,1.27,32.6,18.25,2.49,15.76,70.38
96,39V,36.66,1.36,32.59,14.95,1.36,13.59,75.38
97,15650C,37.7,1.71,32.58,16.82,-0.0,16.82,83.33
98,6030K,37.97,1.83,32.48,12.46,-1.69,14.14,83.13
99,2072X,36.24,1.26,32.46,15.16,4.29,10.88,70.38
100,80708Y,36.12,1.23,32.44,17.23,3.11,14.11,71.6
101,89040B,37.62,1.73,32.42,17.2,2.76,14.43,80.56
102,71909X,38.48,2.03,32.4,19.77,-0.16,19.92,83.1
103,1028A,36.12,1.25,32.37,19.06,3.51,15.55,79.79
104,33249A,38.61,2.09,32.34,13.79,0.31,13.48,84.67
105,79298V,37.92,1.86,32.34,15.53,-1.29,16.81,85.12
106,9545X,37.86,1.85,32.3,16.36,-1.58,17.94,85.85
107,53999P,38.33,2.01,32.3,18.02,-1.51,19.53,81.34
108,6842V,35.98,1.23,32.29,16.86,1.22,15.64,75.26
109,62629X,37.44,1.72,32.29,16.85,0.78,16.07,86.54
110,84248A,38.29,2.0,32.29,13.74,0.87,12.87,84.42
111,18522R,38.32,2.02,32.26,20.91,1.19,19.72,77.42
112,44691F,36.39,1.38,32.25,16.08,1.64,14.44,69.35
113,7121B,37.01,1.6,32.21,16.48,1.72,14.76,79.82
114,2616K,37.04,1.61,32.21,18.3,0.27,18.03,78.97
115,10102Z,36.37,1.39,32.19,17.74,1.94,15.8,73.91
116,4886S,36.82,1.56,32.15,16.91,0.73,16.18,83.08
117,71909Z,38.08,1.98,32.14,15.93,0.17,15.76,82.09
118,210Z,37.08,1.67,32.07,17.39,0.95,16.45,78.16
119,53417P,40.42,2.78,32.07,16.55,0.25,16.31,90.48
120,7405R,36.53,1.5,32.04,16.85,2.4,14.45,77.55
121,2011E,36.31,1.43,32.02,15.09,2.87,12.22,69.05
122,334U,36.1,1.36,32.02,20.4,-0.01,20.42,72.87
123,67002F,37.63,1.87,32.02,14.87,-0.5,15.37,82.39
124,248D,36.37,1.45,32.01,17.23,1.94,15.29,72.17
125,87490A,37.41,1.8,32.0,15.27,-0.93,16.2,80.25
126,60883W,35.65,1.22,31.99,17.29,0.3,16.99,71.91
127,16610A,36.47,1.51,31.95,18.39,2.06,16.33,73.66
128,20002G,37.8,1.96,31.93,15.6,1.44,14.17,76.92
129,10278A,36.35,1.48,31.92,15.49,1.72,13.78,75.83
130,2669A,36.94,1.67,31.92,22.07,2.46,19.62,78.47
131,11591S,36.89,1.66,31.92,14.81,1.1,13.71,68.52
