team,season,driver,programming,combined
16610A,VEX V5 Robotics Competition 2025-2026: Push Back,96,64,160
1698V,VEX V5 Robotics Competition 2025-2026: Push Back,78,74,152
11811A,VEX V5 Robotics Competition 2025-2026: Push Back,80,70,150
10B,VEX V5 Robotics Competition 2025-2026: Push Back,80,56,136
7686A,VEX V5 Robotics Competition 2025-2026: Push Back,74,48,122
1523C,VEX V5 Robotics Competition 2025-2026: Push Back,59,57,116
7121B,VEX V5 Robotics Competition 2025-2026: Push Back,64,50,114
16610V,VEX V5 Robotics Competition 2025-2026: Push Back,62,43,105
9364V,VEX V5 Robotics Competition 2025-2026: Push Back,72,32,104
11101B,VEX V5 Robotics Competition 2025-2026: Push Back,69,34,103
81208X,VEX V5 Robotics Competition 2025-2026: Push Back,66,26,92
2131N,VEX V5 Robotics Competition 2025-2026: Push Back,58,33,91
210K,VEX V5 Robotics Competition 2025-2026: Push Back,69,20,89
1069A,VEX V5 Robotics Competition 2025-2026: Push Back,73,16,89
10702X,VEX V5 Robotics Competition 2025-2026: Push Back,53,36,89
73017D,VEX V5 Robotics Competition 2025-2026: Push Back,67,22,89
6842K,VEX V5 Robotics Competition 2025-2026: Push Back,57,31,88
2982X,VEX V5 Robotics Competition 2025-2026: Push Back,64,23,87
11444X,VEX V5 Robotics Competition 2025-2026: Push Back,48,38,86
7009X,VEX V5 Robotics Competition 2025-2026: Push Back,68,15,83
9123C,VEX V5 Robotics Competition 2025-2026: Push Back,82,0,82
11207S,VEX V5 Robotics Competition 2025-2026: Push Back,60,20,80
334U,VEX V5 Robotics Competition 2025-2026: Push Back,63,15,78
229Y,VEX V5 Robotics Competition 2025-2026: Push Back,54,23,77
3004A,VEX V5 Robotics Competition 2025-2026: Push Back,39,38,77
54001A,VEX V5 Robotics Competition 2025-2026: Push Back,62,15,77
7701X,VEX V5 Robotics Competition 2025-2026: Push Back,47,28,75
1412J,VEX V5 Robotics Competition 2025-2026: Push Back,59,15,74
2550R,VEX V5 Robotics Competition 2025-2026: Push Back,53,21,74
7225T,VEX V5 Robotics Competition 2025-2026: Push Back,48,26,74
8110W,VEX V5 Robotics Competition 2025-2026: Push Back,63,11,74
91416X,VEX V5 Robotics Competition 2025-2026: Push Back,44,26,70
32792B,VEX V5 Robotics Competition 2025-2026: Push Back,57,11,68
295Y,VEX V5 Robotics Competition 2025-2026: Push Back,52,15,67
2502X,VEX V5 Robotics Competition 2025-2026: Push Back,51,15,66
4118D,VEX V5 Robotics Competition 2025-2026: Push Back,51,15,66
7225F,VEX V5 Robotics Competition 2025-2026: Push Back,49,17,66
10085A,VEX V5 Robotics Competition 2025-2026: Push Back,66,0,66
5690W,VEX V5 Robotics Competition 2025-2026: Push Back,50,15,65
8110C,VEX V5 Robotics Competition 2025-2026: Push Back,50,15,65
3283A,VEX V5 Robotics Competition 2025-2026: Push Back,46,18,64
3359A,VEX V5 Robotics Competition 2025-2026: Push Back,44,20,64
18189A,VEX V5 Robotics Competition 2025-2026: Push Back,61,1,62
16689A,VEX V5 Robotics Competition 2025-2026: Push Back,32,27,59
9144C,VEX V5 Robotics Competition 2025-2026: Push Back,58,0,58
9123X,VEX V5 Robotics Competition 2025-2026: Push Back,57,0,57
7977A,VEX V5 Robotics Competition 2025-2026: Push Back,35,20,55
2145Z,VEX V5 Robotics Competition 2025-2026: Push Back,49,5,54
99157B,VEX V5 Robotics Competition 2025-2026: Push Back,39,15,54
886S,VEX V5 Robotics Competition 2025-2026: Push Back,53,0,53
8110S,VEX V5 Robotics Competition 2025-2026: Push Back,38,15,53
7701A,VEX V5 Robotics Competition 2025-2026: Push Back,37,15,52
3945A,VEX V5 Robotics Competition 2025-2026: Push Back,36,15,51
8110A,VEX V5 Robotics Competition 2025-2026: Push Back,35,15,50
39D,VEX V5 Robotics Competition 2025-2026: Push Back,28,20,48
3142C,VEX V5 Robotics Competition 2025-2026: Push Back,24,23,47
18888A,VEX V5 Robotics Competition 2025-2026: Push Back,42,5,47
99905C,VEX V5 Robotics Competition 2025-2026: Push Back,39,5,44
666X,VEX V5 Robotics Competition 2025-2026: Push Back,40,3,43
1551X,VEX V5 Robotics Competition 2025-2026: Push Back,28,15,43
8823Z,VEX V5 Robotics Competition 2025-2026: Push Back,28,15,43
355A,VEX V5 Robotics Competition 2025-2026: Push Back,27,15,42
6008P,VEX V5 Robotics Competition 2025-2026: Push Back,22,20,42
7225C,VEX V5 Robotics Competition 2025-2026: Push Back,27,15,42
8110Z,VEX V5 Robotics Competition 2025-2026: Push Back,27,15,42
10278A,VEX V5 Robotics Competition 2025-2026: Push Back,34,8,42
334C,VEX V5 Robotics Competition 2025-2026: Push Back,41,0,41
